This is Ultimate 0.1.23-3204b74
    {ATS_ID=complement(fha_16), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=75}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_15, complement(fha_16)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=11}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_17), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=75}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_16, complement(fha_17)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=5}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_18), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=163}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_17, complement(fha_18)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=6}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_19), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=3}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_18, complement(fha_19)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=9}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=isEmpty(nfa_19), OPERATION_NAME=isEmpty, RUNTIME_TOTAL_MS=13}
  - GenericResultAtElement [Line: 6586]: print(isEmpty(nfa_19))
    true
  - AutomataScriptInterpreterOverallResult: Finished interpretation of automata script.
     You have not used any assert statement in your automata script. Assert statements can be used to check Boolean results.
RESULT: Ultimate could not prove your program:  You have not used any assert statement in your automata script. Assert statements can be used to check Boolean results.
Received shutdown request...
